order_id,order_date,customer_id,customer_age,customer_gender,region,prefecture,product_category,product_name,unit_price,quantity,discount_rate,payment_method,is_repeat_customer,delivery_days,review_score
ORD015,2024-02-08,C1003,42,F,関東,神奈川県,美容,メイクアップセット,7200,1,0.10,クレジットカード,TRUE,2,4.0
ORD016,2024-02-10,C1013,27,M,中部,静岡県,スポーツ,テニスラケット,28000,1,0.15,銀行振込,FALSE,4,5.0
ORD017,2024-02-12,C1014,36,F,関西,兵庫県,食品,ワインセット,9800,2,0.00,クレジットカード,FALSE,3,4.5
ORD018,2024-02-15,C1015,24,M,関東,東京都,家電,ゲーミングマウス,8500,1,0.00,PayPay,FALSE,2,4.0
ORD019,2024-02-18,C1001,28,F,関東,東京都,ファッション,アクセサリーセット,4500,2,0.05,クレジットカード,TRUE,2,4.5
ORD020,2024-02-20,C1016,48,M,東北,秋田県,書籍,歴史書セット,6200,1,0.00,コンビニ払い,TRUE,6,4.0
ORD021,2024-02-22,C1017,30,F,関東,東京都,美容,フレグランス,15000,1,0.10,クレジットカード,FALSE,2,5.0
ORD022,2024-02-25,C1018,39,M,九州,鹿児島県,家電,コーヒーメーカー,22000,1,0.05,銀行振込,FALSE,5,4.5
ORD023,2024-02-28,C1019,25,F,関西,大阪府,ファッション,ワンピース,8900,1,0.00,PayPay,FALSE,3,4.0
ORD024,2024-03-02,C1020,44,M,中部,愛知県,スポーツ,ゴルフクラブセット,85000,1,0.20,クレジットカード,TRUE,4,5.0
ORD025,2024-03-05,C1006,45,M,関東,埼玉県,食品,お茶ギフト,4200,3,0.00,クレジットカード,TRUE,2,4.0
ORD026,2024-03-08,C1021,32,F,北海道,北海道,美容,ボディケアセット,6800,1,0.05,コンビニ払い,FALSE,7,4.5
ORD027,2024-03-10,C1022,37,M,関東,東京都,家電,ノートPC,128000,1,0.15,クレジットカード,FALSE,2,5.0
ORD028,2024-03-12,C1023,29,F,関西,奈良県,書籍,小説セット,3200,4,0.00,PayPay,FALSE,4,4.0
ORD029,2024-03-15,C1024,46,M,中国,広島県,ファッション,ジャケット,35000,1,0.10,銀行振込,TRUE,5,4.5
ORD030,2024-03-18,C1025,22,F,関東,東京都,美容,ネイルセット,2800,2,0.00,コンビニ払い,FALSE,2,3.5
ORD031,2024-03-20,C1010,52,M,北海道,北海道,家電,電気圧力鍋,18500,1,0.05,銀行振込,TRUE,7,5.0
ORD032,2024-03-22,C1026,34,F,九州,福岡県,スポーツ,ヨガマットセット,5500,1,0.00,クレジットカード,FALSE,4,4.0
ORD033,2024-03-25,C1027,40,M,関東,神奈川県,食品,和菓子詰合せ,5800,2,0.00,PayPay,FALSE,3,4.5
ORD034,2024-03-28,C1028,26,F,関西,大阪府,ファッション,パンプス,9800,1,0.05,クレジットカード,FALSE,3,4.0
ORD035,2024-03-30,C1029,43,M,東北,岩手県,書籍,料理本セット,4800,2,0.00,コンビニ払い,TRUE,6,4.5
ORD036,2024-04-02,C1030,31,F,関東,東京都,美容,コスメ福袋,12000,1,0.25,クレジットカード,FALSE,2,4.0
ORD037,2024-04-05,C1002,35,M,関西,大阪府,家電,空気清浄機,38000,1,0.10,PayPay,TRUE,3,5.0
ORD038,2024-04-08,C1031,28,F,中部,新潟県,ファッション,サンダル,7500,1,0.00,銀行振込,FALSE,5,4.0
ORD039,2024-04-10,C1032,47,M,関東,埼玉県,スポーツ,サイクリングウェア,18000,1,0.05,クレジットカード,FALSE,2,4.5
ORD040,2024-04-12,C1033,24,F,九州,長崎県,食品,カステラセット,3500,3,0.00,コンビニ払い,FALSE,5,4.0
ORD041,2024-04-15,C1034,38,M,関東,東京都,家電,ドローン,65000,1,0.15,クレジットカード,TRUE,2,5.0
ORD042,2024-04-18,C1035,33,F,関西,京都府,美容,和コスメセット,9500,1,0.00,PayPay,FALSE,3,4.5
ORD043,2024-04-20,C1036,50,M,北海道,北海道,書籍,アウトドア本,2800,2,0.05,銀行振込,FALSE,7,4.0
ORD044,2024-04-22,C1037,27,F,関東,千葉県,ファッション,春物カーディガン,6800,1,0.00,クレジットカード,FALSE,2,4.5
ORD045,2024-04-25,C1038,42,M,中部,愛知県,スポーツ,バスケットボール,5200,2,0.00,コンビニ払い,TRUE,4,4.0
ORD046,2024-04-28,C1039,29,F,九州,福岡県,食品,明太子セット,8500,1,0.05,クレジットカード,FALSE,4,5.0
ORD047,2024-04-30,C1040,36,M,関東,東京都,家電,ロボット掃除機,55000,1,0.10,PayPay,FALSE,2,4.5
ORD048,2024-05-03,C1001,28,F,関東,東京都,美容,日焼け止めセット,4200,2,0.00,クレジットカード,TRUE,2,4.0
ORD049,2024-05-05,C1041,45,M,東北,山形県,ファッション,ポロシャツ,5500,2,0.05,銀行振込,FALSE,6,4.5
ORD050,2024-05-08,C1042,23,F,関西,大阪府,書籍,語学教材,7800,1,0.00,コンビニ払い,FALSE,3,4.0
ORD051,2024-05-10,C1043,39,M,関東,神奈川県,スポーツ,野球グローブ,25000,1,0.10,クレジットカード,TRUE,3,5.0
ORD052,2024-05-12,C1044,32,F,中国,岡山県,食品,フルーツ詰合せ,7200,1,0.00,PayPay,FALSE,5,4.5
ORD053,2024-05-15,C1045,48,M,関東,東京都,家電,4Kモニター,42000,1,0.05,クレジットカード,FALSE,2,4.0
ORD054,2024-05-18,C1046,26,F,九州,大分県,美容,温泉コスメセット,5800,1,0.00,銀行振込,FALSE,5,4.5
ORD055,2024-05-20,C1047,41,M,関西,兵庫県,ファッション,革ベルト,8500,1,0.05,クレジットカード,TRUE,3,4.0
ORD056,2024-05-22,C1048,30,F,北海道,北海道,書籍,写真集,4500,1,0.00,コンビニ払い,FALSE,7,5.0
ORD057,2024-05-25,C1049,35,M,関東,埼玉県,スポーツ,トレーニングウェア,12000,1,0.10,PayPay,FALSE,2,4.5
ORD058,2024-05-28,C1050,44,F,中部,長野県,食品,りんごジュースセット,4800,2,0.00,クレジットカード,FALSE,4,4.0
ORD059,2024-05-30,C1006,45,M,関東,埼玉県,家電,Bluetoothスピーカー,15800,1,0.00,クレジットカード,TRUE,2,4.5
ORD060,2024-06-02,C1051,28,F,関西,大阪府,美容,サマーコスメ,6500,1,0.05,PayPay,FALSE,3,4.0
ORD061,2024-06-05,C1052,37,M,東北,福島県,ファッション,リネンシャツ,7800,2,0.00,銀行振込,FALSE,5,4.5
ORD062,2024-06-08,C1053,25,F,関東,東京都,書籍,マンガセット,5200,3,0.05,コンビニ払い,FALSE,2,4.0
ORD063,2024-06-10,C1054,46,M,九州,宮崎県,スポーツ,サーフボード,48000,1,0.15,クレジットカード,TRUE,5,5.0
ORD064,2024-06-12,C1055,33,F,中部,岐阜県,食品,飛騨牛セット,15000,1,0.00,PayPay,FALSE,4,5.0
ORD065,2024-06-15,C1056,40,M,関東,神奈川県,家電,電動歯ブラシ,12000,1,0.05,クレジットカード,FALSE,2,4.5
ORD066,2024-06-18,C1057,29,F,関西,滋賀県,美容,オーガニックコスメ,8200,1,0.00,銀行振込,FALSE,4,4.0
ORD067,2024-06-20,C1058,43,M,北海道,北海道,ファッション,レインコート,9500,1,0.10,クレジットカード,TRUE,7,4.5
ORD068,2024-06-22,C1059,27,F,関東,東京都,書籍,アート本,6800,1,0.00,コンビニ払い,FALSE,2,5.0
ORD069,2024-06-25,C1060,38,M,中国,山口県,スポーツ,卓球セット,8500,1,0.05,PayPay,FALSE,5,4.0
ORD070,2024-06-28,C1002,35,M,関西,大阪府,食品,うなぎ蒲焼セット,12800,1,0.00,PayPay,TRUE,3,5.0
ORD071,2024-06-30,C1061,31,F,関東,埼玉県,家電,ヘアドライヤー,18000,1,0.10,クレジットカード,FALSE,2,4.5
ORD072,2024-07-03,C1062,34,M,東北,青森県,美容,メンズスキンケア,5500,1,0.00,銀行振込,FALSE,6,4.0
ORD073,2024-07-05,C1063,47,F,関東,千葉県,ファッション,サマードレス,11000,1,0.05,クレジットカード,TRUE,2,4.5
ORD074,2024-07-08,C1064,24,M,九州,福岡県,書籍,プログラミング入門,3200,2,0.00,コンビニ払い,FALSE,4,4.0
ORD075,2024-07-10,C1065,42,F,関西,大阪府,スポーツ,水着セット,8800,1,0.10,PayPay,FALSE,3,4.5
ORD076,2024-07-12,C1066,36,M,中部,石川県,食品,加賀野菜セット,6500,1,0.00,クレジットカード,FALSE,4,5.0
ORD077,2024-07-15,C1067,28,F,関東,東京都,家電,ポータブル扇風機,3800,2,0.00,コンビニ払い,FALSE,2,4.0
ORD078,2024-07-18,C1068,45,M,北海道,北海道,美容,アロマセット,7500,1,0.05,銀行振込,TRUE,7,4.5
ORD079,2024-07-20,C1069,30,F,関西,京都府,ファッション,浴衣セット,25000,1,0.15,クレジットカード,FALSE,3,5.0
ORD080,2024-07-22,C1070,39,M,東北,宮城県,書籍,歴史小説,2500,3,0.00,PayPay,FALSE,5,4.0
ORD081,2024-07-25,C1010,52,M,北海道,北海道,スポーツ,登山靴,32000,1,0.10,銀行振込,TRUE,7,5.0
ORD082,2024-07-28,C1071,26,F,関東,神奈川県,食品,チョコレートギフト,4200,2,0.00,クレジットカード,FALSE,3,4.5
ORD083,2024-07-30,C1072,41,M,中部,愛知県,家電,冷風機,28000,1,0.05,コンビニ払い,FALSE,4,4.0
ORD084,2024-08-02,C1073,33,F,九州,熊本県,美容,夏コスメセット,7800,1,0.00,PayPay,FALSE,5,4.5
ORD085,2024-08-05,C1074,48,M,関東,東京都,ファッション,麻ジャケット,22000,1,0.10,クレジットカード,TRUE,2,4.0
ORD086,2024-08-08,C1075,25,F,関西,大阪府,書籍,自己啓発本セット,4500,2,0.05,銀行振込,FALSE,3,4.5
ORD087,2024-08-10,C1076,37,M,中国,広島県,スポーツ,サッカーボール,4800,2,0.00,クレジットカード,FALSE,5,4.0
ORD088,2024-08-12,C1077,29,F,関東,埼玉県,食品,かき氷シロップセット,2800,3,0.00,コンビニ払い,FALSE,2,3.5
ORD089,2024-08-15,C1078,44,M,北海道,北海道,家電,除湿機,35000,1,0.15,PayPay,FALSE,7,5.0
ORD090,2024-08-18,C1079,32,F,東北,秋田県,美容,ハンドクリームセット,3200,2,0.00,銀行振込,TRUE,6,4.0
ORD091,2024-08-20,C1080,40,M,関東,東京都,ファッション,レザーウォレット,15000,1,0.05,クレジットカード,FALSE,2,4.5
ORD092,2024-08-22,C1081,27,F,関西,兵庫県,書籍,レシピ本,2200,3,0.00,コンビニ払い,FALSE,4,4.0
ORD093,2024-08-25,C1001,28,F,関東,東京都,スポーツ,ピラティスマット,6500,1,0.00,クレジットカード,TRUE,2,4.5
ORD094,2024-08-28,C1082,46,M,九州,福岡県,食品,博多ラーメンセット,3800,2,0.05,PayPay,FALSE,4,5.0
ORD095,2024-08-30,C1083,35,F,中部,静岡県,家電,ホットプレート,18500,1,0.10,銀行振込,FALSE,4,4.5
ORD096,2024-09-02,C1084,23,M,関東,千葉県,美容,メンズ香水,8500,1,0.00,クレジットカード,FALSE,2,4.0
ORD097,2024-09-05,C1085,38,F,関西,大阪府,ファッション,秋物ニット,9800,1,0.05,PayPay,TRUE,3,4.5
ORD098,2024-09-08,C1086,50,M,東北,山形県,書籍,園芸本セット,3500,2,0.00,コンビニ払い,FALSE,6,4.0
ORD099,2024-09-10,C1087,31,F,関東,神奈川県,スポーツ,ジムバッグ,7200,1,0.00,クレジットカード,FALSE,3,4.5
ORD100,2024-09-12,C1088,43,M,中部,愛知県,食品,味噌セット,5500,1,0.05,銀行振込,TRUE,4,5.0
